Model,Metric,CI Lower,CI Upper
Improved CNN,Accuracy,0.7868589743589743,0.8461538461538461
Improved CNN,Sensitivity,0.9534792877906977,0.9870138281407711
Improved CNN,Specificity,0.4976958525345622,0.6218513014962083
Improved CNN,F1,0.8451647244212358,0.891926335493377
Improved CNN,ROC-AUC,0.8981354317597794,0.9405583909035388
ResNet-18,Accuracy,0.8012820512820513,0.8605769230769231
ResNet-18,Sensitivity,0.9920634920634921,1.0
ResNet-18,Specificity,0.49165570175438594,0.6154008438818565
ResNet-18,F1,0.8574610244988864,0.9024949519786009
ResNet-18,ROC-AUC,0.9387443652851931,0.9720233244763878
