index,filepath,true_label,target_class,original_probability,cam_region_blur_probability,cam_region_probability_drop,random_region_blur_probability,random_region_probability_drop,cam_minus_random_drop
0,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\NORMAL2-IM-0316-0001.jpeg,0,1,0.7824814915657043,0.7739485502243042,0.008532941341400146,0.9917054176330566,-0.2092239260673523,0.21775686740875244
1,D:\pneumonia-data\chest-xray\chest_xray\test\PNEUMONIA\person121_bacteria_575.jpeg,1,1,0.9946946501731873,0.9990262985229492,-0.004331648349761963,0.9836505055427551,0.011044144630432129,-0.015375792980194092
2,D:\pneumonia-data\chest-xray\chest_xray\test\PNEUMONIA\person91_bacteria_449.jpeg,1,1,0.767268717288971,0.7060081958770752,0.06126052141189575,0.919710099697113,-0.1524413824081421,0.21370190382003784
3,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0086-0001.jpeg,0,0,0.8687924146652222,0.22557899355888367,0.6432134211063385,0.18938712775707245,0.6794052869081497,-0.03619186580181122
4,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0083-0001.jpeg,0,0,0.9284145832061768,0.3199929893016815,0.6084215939044952,0.04168901592493057,0.8867255672812462,-0.27830397337675095
5,D:\pneumonia-data\chest-xray\chest_xray\test\PNEUMONIA\person1676_virus_2892.jpeg,1,1,0.953680157661438,0.9883205890655518,-0.03464043140411377,0.9850548505783081,-0.03137469291687012,-0.0032657384872436523
6,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\NORMAL2-IM-0373-0001.jpeg,0,1,0.8367958664894104,0.7520185708999634,0.08477729558944702,0.9856846332550049,-0.14888876676559448,0.2336660623550415
7,D:\pneumonia-data\chest-xray\chest_xray\test\PNEUMONIA\person65_virus_123.jpeg,1,1,0.9974939823150635,0.9800885319709778,0.017405450344085693,0.9971966743469238,0.00029730796813964844,0.017108142375946045
8,D:\pneumonia-data\chest-xray\chest_xray\test\PNEUMONIA\person80_bacteria_392.jpeg,1,1,0.9726406335830688,0.6420701742172241,0.3305704593658447,0.987255334854126,-0.014614701271057129,0.34518516063690186
9,D:\pneumonia-data\chest-xray\chest_xray\test\PNEUMONIA\person134_bacteria_644.jpeg,1,1,0.9466111063957214,0.8637918829917908,0.08281922340393066,0.9662619829177856,-0.01965087652206421,0.10247009992599487
